date,gold,silver
12/30/1977,100,223.42
01/02/1978,100,223.42
01/03/1978,100,229.84
01/04/1978,100,224.58
01/05/1978,100,227.99
01/06/1978,100,227.19
01/09/1978,101.23,229.62
01/10/1978,100.95,228.97
01/11/1978,102.25,231.22
01/12/1978,100.88,227.89
01/13/1978,102.62,232.55
01/16/1978,103.09,232.49
01/17/1978,101.78,230.18
01/18/1978,100.87,227.96
01/19/1978,101.7,228.88
01/20/1978,101.72,228.92
01/23/1978,103.62,234
01/24/1978,103.59,233.63
01/25/1978,103.55,234.5
01/26/1978,103.28,231.49
01/27/1978,102.49,230.37
01/30/1978,102.19,229.66
01/31/1978,103.49,231.61
02/01/1978,102.98,229.98
02/02/1978,101.96,226.91
02/03/1978,102.27,227.42
02/06/1978,102.79,228.1
02/07/1978,102.81,228.14
02/08/1978,101.9,224.98
02/09/1978,102.21,226.41
02/10/1978,103.15,229.9
02/13/1978,104.19,229.94
02/14/1978,103.92,228.16
02/15/1978,105.56,232.23
02/16/1978,105.87,234.01
02/17/1978,105.14,233.19
02/20/1978,105.14,233.19
02/21/1978,106.26,234.55
02/22/1978,105.7,231.61
02/23/1978,107.23,232.8
02/24/1978,105.45,229.81
02/27/1978,106.2,230.39
02/28/1978,107.21,230.94
03/01/1978,106.99,229.83
03/02/1978,107.6,232.22
03/03/1978,107.38,232.08
03/06/1978,108.89,235.33
03/07/1978,110.14,244.57
03/08/1978,111.03,248.98
03/09/1978,109.52,246.68
03/10/1978,110,248.75
03/13/1978,110.39,254.63
03/14/1978,108.52,250.67
03/15/1978,107.04,251.36
03/16/1978,108.21,254.95
03/17/1978,106.05,248.09
03/20/1978,102.65,240.71
03/21/1978,103.36,241.21
03/22/1978,105.22,244.34
03/23/1978,105.53,246.05
03/24/1978,105.53,246.05
03/27/1978,106.98,251.11
03/28/1978,106.6,249.26
03/29/1978,104.66,247.41
03/30/1978,105.37,246.81
03/31/1978,107.29,253.55
04/03/1978,103.65,246.38
04/04/1978,103.33,242.5
04/05/1978,104.04,243.37
04/06/1978,105.27,244.76
04/07/1978,103.55,241.89
04/10/1978,104.19,243.5
04/11/1978,105.07,247.27
04/12/1978,104.63,245.02
04/13/1978,103.72,242.06
04/14/1978,102.99,241.23
04/17/1978,99.98,233.29
04/18/1978,100.93,235.15
04/19/1978,100.77,234.15
04/20/1978,99.11,230.53
04/21/1978,99.19,230.8
04/24/1978,97.45,225.99
04/25/1978,97.46,227.53
04/26/1978,98.06,228.9
04/27/1978,99.41,230.49
04/28/1978,98.79,230.03
05/01/1978,98.38,228.87
05/02/1978,98.91,231.02
05/03/1978,99.8,232.8
05/04/1978,100.92,234.71
05/05/1978,100.88,234.39
05/08/1978,100.11,232.87
05/09/1978,100.25,232.08
05/10/1978,101.51,234.55
05/11/1978,101.24,232.86
05/12/1978,101.26,233.26
05/15/1978,102.63,235.13
05/16/1978,103.22,237.42
05/17/1978,103.01,237.42
05/18/1978,104.12,240.03
05/19/1978,103.91,238.61
05/22/1978,104.71,239.24
05/23/1978,105.94,240.84
05/24/1978,104.58,239.14
05/25/1978,105.11,242.03
05/26/1978,104.96,242.76
05/29/1978,104.96,242.76
05/30/1978,107.34,250.16
05/31/1978,107.59,249.79
06/01/1978,107.43,250.85
06/02/1978,106.59,246.2
06/05/1978,105.96,245.83
06/06/1978,106.15,247.49
06/07/1978,105.25,242.75
06/08/1978,106.02,244.35
06/09/1978,105.75,243.05
06/12/1978,105.69,241.66
06/13/1978,106.98,245.57
06/14/1978,106.71,242.98
06/15/1978,107.25,245.44
06/16/1978,108.19,246.67
06/19/1978,108.72,248.94
06/20/1978,108.39,248.26
06/21/1978,108.35,246.44
06/22/1978,108.6,245.98
06/23/1978,108.28,245.71
06/26/1978,107.82,246.62
06/27/1978,107.84,247.58
06/28/1978,107.57,247.45
06/29/1978,106.37,242.56
06/30/1978,106.28,241.24
07/03/1978,106.98,243.44
07/04/1978,106.98,243.44
07/05/1978,107.08,242.85
07/06/1978,106.52,240.38
07/07/1978,108.05,242.39
07/10/1978,108.54,244.37
07/11/1978,108.21,243.68
07/12/1978,108.58,244.28
07/13/1978,107.98,243.37
07/14/1978,108.28,242.73
07/17/1978,107.16,240.77
07/18/1978,107.86,241.64
07/19/1978,108.78,243.25
07/20/1978,111.68,249.07
07/21/1978,114.06,253.24
07/24/1978,112.72,253.72
07/25/1978,113.7,254.87
07/26/1978,113.44,252.67
07/27/1978,115.33,255.75
07/28/1978,116.7,257.32
07/31/1978,118.41,261.41
08/01/1978,117.13,256.55
08/02/1978,117.66,255.59
08/03/1978,116.16,253.2
08/04/1978,118.39,255.87
08/07/1978,120.43,256.11
08/08/1978,120.97,255.93
08/09/1978,119.18,253.79
08/10/1978,121.75,255.65
08/11/1978,122.17,259.07
08/14/1978,124.67,262.82
08/15/1978,123.39,259.26
08/16/1978,123.02,256.43
08/17/1978,119.87,250.12
08/18/1978,120.46,248.59
08/21/1978,120.53,249.72
08/22/1978,118.74,248.78
08/23/1978,117.4,249.73
08/24/1978,116.12,250.14
08/25/1978,114.9,249.83
08/28/1978,115.08,248.49
08/29/1978,119.99,253.28
08/30/1978,120.12,253.47
08/31/1978,119.58,253.16
09/01/1978,122.39,256.2
09/04/1978,122.39,256.2
09/05/1978,123.68,257.41
09/06/1978,123.08,254.88
09/07/1978,120.15,252.21
09/08/1978,119.55,251
09/11/1978,119.74,251.79
09/12/1978,120.39,252.98
09/13/1978,122.75,257.07
09/14/1978,121.98,255.54
09/15/1978,122.18,256.23
09/18/1978,124.99,257.12
09/19/1978,122.23,255.81
09/20/1978,125.1,261.36
09/21/1978,125.53,261.1
09/22/1978,127.1,261.75
09/25/1978,126.55,261.01
09/26/1978,125.44,259.48
09/27/1978,126.95,261.58
09/28/1978,126.47,261.32
09/29/1978,126.21,260.11
10/02/1978,127.55,264.75
10/03/1978,129.47,267.63
10/04/1978,129.84,267.33
10/05/1978,129.98,268.21
10/06/1978,129.04,265.99
10/09/1978,130.05,270.64
10/10/1978,130.53,272.16
10/11/1978,132.17,274.51
10/12/1978,129.68,270.78
10/13/1978,130.05,271.44
10/16/1978,131.69,273.32
10/17/1978,132.58,273.61
10/18/1978,132.5,272.67
10/19/1978,130.69,269.53
10/20/1978,132.04,269.23
10/23/1978,130.87,268.09
10/24/1978,132.05,270.07
10/25/1978,135.35,279.29
10/26/1978,135.96,280.18
10/27/1978,137.66,284
10/30/1978,142.12,291.75
10/31/1978,138.53,284.94
11/01/1978,132.8,275.83
11/02/1978,127.08,269.7
11/03/1978,123.82,267.83
11/06/1978,122.87,268.02
11/07/1978,122.87,268.02
11/08/1978,125.87,269.62
11/09/1978,120.26,260.96
11/10/1978,121.26,261.86
11/13/1978,121.96,265.98
11/14/1978,120.74,271.56
11/15/1978,115.1,262.64
11/16/1978,115.24,267.7
11/17/1978,115.67,275.14
11/20/1978,114.56,274.67
11/21/1978,114.36,272.48
11/22/1978,116.43,275.52
11/23/1978,116.43,275.52
11/24/1978,116.43,275.52
11/27/1978,113.96,276.71
11/28/1978,111.6,270.92
11/29/1978,111.17,270.53
11/30/1978,111.77,274.89
12/01/1978,113.9,272.61
12/04/1978,113.88,269.97
12/05/1978,113.45,270.04
12/06/1978,114.5,267.04
12/07/1978,115.27,268.6
12/08/1978,118.38,270.7
12/11/1978,117.67,271
12/12/1978,118.9,271.06
12/13/1978,116.82,271.04
12/14/1978,118.28,269.89
12/15/1978,118.88,270.27
12/18/1978,124.4,273.88
12/19/1978,127.92,276.89
12/20/1978,124.46,275.6
12/21/1978,124.49,274.9
12/22/1978,124.01,273.7
12/25/1978,124.01,273.7
12/26/1978,126.94,275.8
12/27/1978,128.81,278.51
12/28/1978,129.01,277.76
12/29/1978,131.28,279.06
01/01/1979,131.28,279.06
01/02/1979,128.61,276.08
01/03/1979,128.01,275.79
01/04/1979,130.28,275.77
01/05/1979,129.11,276.16
01/08/1979,130.31,278.15
01/09/1979,127.67,276.59
01/10/1979,128.5,276.52
01/11/1979,125.76,273.08
01/12/1979,126.19,275.62
01/15/1979,126.63,279.63
01/16/1979,130.34,286.78
01/17/1979,131.11,288.91
01/18/1979,133.07,289.81
01/19/1979,134.12,291.71
01/22/1979,133.49,292.31
01/23/1979,134.66,294.31
01/24/1979,137.53,303.22
01/25/1979,135.46,305.04
01/26/1979,136.18,306.45
01/29/1979,134.02,307.15
01/30/1979,135.07,309.29
01/31/1979,134.32,309.83
02/01/1979,133.56,308.26
02/02/1979,137.74,317.52
02/05/1979,142.33,326.95
02/06/1979,140.44,331.9
02/07/1979,146.16,341.18
02/08/1979,140.51,332.1
02/09/1979,140.72,339.32
02/12/1979,141.57,338.79
02/13/1979,137.79,329.76
02/14/1979,141.87,338.94
02/15/1979,141.34,342.49
02/16/1979,142.86,351.69
02/19/1979,142.86,351.69
02/20/1979,144.2,361.17
02/21/1979,144.18,362.77
02/22/1979,144.9,361.27
02/23/1979,146.03,364.55
02/26/1979,141.57,355.71
02/27/1979,143.61,360.14
02/28/1979,144.62,357.72
03/01/1979,144.14,359.19
03/02/1979,139.14,350.14
03/05/1979,135.53,341.27
03/06/1979,137.29,342.96
03/07/1979,138.93,334.36
03/08/1979,137.6,334.45
03/09/1979,138.51,336.6
03/12/1979,137.76,329.3
03/13/1979,137.85,331.45
03/14/1979,137.88,335.21
03/15/1979,140.12,343.09
03/16/1979,140.16,341.12
03/19/1979,140.33,341.16
03/20/1979,137.71,341.71
03/21/1979,139.84,350.99
03/22/1979,139.42,353.61
03/23/1979,139.35,353.01
03/26/1979,142.06,359.96
03/27/1979,140.17,353.11
03/28/1979,139.81,355.1
03/29/1979,138.15,348.06
03/30/1979,138.13,345.89
04/02/1979,138.24,346.63
04/03/1979,137.71,340.69
04/04/1979,139.17,344.93
04/05/1979,138.18,345.02
04/06/1979,138.68,349.49
04/09/1979,138.16,352.14
04/10/1979,137.75,351.07
04/11/1979,133.75,344.07
04/12/1979,133.95,344.38
04/13/1979,133.95,344.38
04/16/1979,132.68,338.37
04/17/1979,134.14,343.57
04/18/1979,138.1,349.09
04/19/1979,137,343.16
04/20/1979,136.18,342.52
04/23/1979,139.03,345.77
04/24/1979,139.3,346.55
04/25/1979,140.02,351.67
04/26/1979,139.88,352.91
04/27/1979,141.92,361.01
04/30/1979,142.37,370.45
05/01/1979,141.61,368.25
05/02/1979,142.04,369.49
05/03/1979,142.65,373.71
05/04/1979,143.15,382.97
05/07/1979,144.06,390.61
05/08/1979,141.81,381.54
05/09/1979,144.48,388.3
05/10/1979,144.69,391.16
05/11/1979,143.15,383.46
05/14/1979,145.8,389.97
05/15/1979,146.74,388.47
05/16/1979,148.41,389.03
05/17/1979,149.02,388.45
05/18/1979,149.28,386.02
05/21/1979,153.69,395.54
05/22/1979,152.71,404.85
05/23/1979,152.13,400.13
05/24/1979,152.68,402.31
05/25/1979,155.49,411.4
05/28/1979,155.49,411.4
05/29/1979,155.15,402.62
05/30/1979,156.27,400.2
05/31/1979,159.03,404.74
06/01/1979,156.69,395.61
06/04/1979,158.52,398.2
06/05/1979,160.83,399
06/06/1979,161.1,394.94
06/07/1979,159.61,391.58
06/08/1979,161.35,398.17
06/11/1979,161.48,398.24
06/12/1979,158.58,389.18
06/13/1979,160.66,390.97
06/14/1979,159.63,393.26
06/15/1979,160.8,394.68
06/18/1979,159.85,390.92
06/19/1979,162.05,400.14
06/20/1979,160.72,404.03
06/21/1979,161.84,406.05
06/22/1979,161.94,405.51
06/25/1979,163.14,404.76
06/26/1979,160.57,397.19
06/27/1979,159.52,396.15
06/28/1979,159.73,392.27
06/29/1979,161.77,401.51
07/02/1979,162,397.46
07/03/1979,163.07,404.65
07/04/1979,163.07,404.65
07/05/1979,167.15,414.01
07/06/1979,166.1,412.28
07/09/1979,167.43,421.53
07/10/1979,167.08,424.16
07/11/1979,167.66,426.33
07/12/1979,166.63,420.93
07/13/1979,166.34,416.91
07/16/1979,170.23,426.42
07/17/1979,171.32,435.71
07/18/1979,172.75,436.06
07/19/1979,172.57,436.17
07/20/1979,173.45,442.72
07/23/1979,175.68,442.24
07/24/1979,176.39,439.04
07/25/1979,175.17,439.16
07/26/1979,175.66,443.19
07/27/1979,175.76,435.94
07/30/1979,170.36,427.07
07/31/1979,164.86,417.96
08/01/1979,166.9,422.45
08/02/1979,163.95,415.42
08/03/1979,164.16,417.37
08/06/1979,161.29,408.46
08/07/1979,163.44,406.03
08/08/1979,168.37,415.33
08/09/1979,171.8,421.78
08/10/1979,173.85,421.91
08/13/1979,170.15,415.03
08/14/1979,171.86,424.17
08/15/1979,172.35,424.96
08/16/1979,172.73,427.79
08/17/1979,171.16,428.22
08/20/1979,171.13,425.07
08/21/1979,176.3,434.24
08/22/1979,178.69,442.96
08/23/1979,181.14,452.14
08/24/1979,178.96,460.64
08/27/1979,180.89,462.15
08/28/1979,182.56,471.34
08/29/1979,182.16,478.05
08/30/1979,184,487.25
08/31/1979,182.65,493.06
09/03/1979,182.65,493.06
09/04/1979,185.03,511.77
09/05/1979,190.68,530.09
09/06/1979,189.83,548.42
09/07/1979,193.97,554.48
09/10/1979,195.59,573.14
09/11/1979,194.02,586.96
09/12/1979,192.56,569.36
09/13/1979,198,587.74
09/14/1979,198.89,606.13
09/17/1979,204.69,634.03
09/18/1979,210.36,670.71
09/19/1979,216.27,707.41
09/20/1979,214.48,716.75
09/21/1979,216.06,735.22
09/24/1979,215.69,748.66
09/25/1979,214.51,721.45
09/26/1979,219.08,736.29
09/27/1979,229.84,754.8
09/28/1979,227.94,768.74
10/01/1979,239.41,787.7
10/02/1979,237.5,792.51
10/03/1979,227.13,793.19
10/04/1979,215.91,775.08
10/05/1979,221.89,756.96
10/08/1979,211.64,730.1
10/09/1979,225.83,767.02
10/10/1979,240.02,803.97
10/11/1979,223.98,817.51
10/12/1979,228.57,817.75
10/15/1979,230.48,819.45
10/16/1979,224.33,801.32
10/17/1979,222.7,796.06
10/18/1979,223.06,800.91
10/19/1979,226.81,818.66
10/22/1979,225.22,813.95
10/23/1979,222.86,809.15
10/24/1979,228.61,816.8
10/25/1979,224.26,805.08
10/26/1979,214.67,786.89
10/29/1979,215.93,769.28
10/30/1979,218.29,767.25
10/31/1979,219.62,776.31
11/01/1979,211.9,758.1
11/02/1979,215.68,753.75
11/05/1979,218.64,763.57
11/06/1979,226.81,781.66
11/07/1979,226.04,776.37
11/08/1979,224.99,772.91
11/09/1979,223.44,762.03
11/12/1979,227,761.99
11/13/1979,221.26,744.2
11/14/1979,224.39,756.77
11/15/1979,222.08,751.88
11/16/1979,223.82,758.86
11/19/1979,222.71,760.75
11/20/1979,225.63,761.01
11/21/1979,226.21,748.92
11/22/1979,226.21,748.92
11/23/1979,226.65,763.81
11/26/1979,224.36,767.95
11/27/1979,228.69,786.21
11/28/1979,236.54,804.47
11/29/1979,234.94,831.76
11/30/1979,241.18,868.06
12/03/1979,248.81,904.93
12/04/1979,245.97,920.09
12/05/1979,249.13,910.09
12/06/1979,245.11,894.04
12/07/1979,244.79,874.46
12/10/1979,250.66,894.77
12/11/1979,258.61,917.67
12/12/1979,258.31,938.32
12/13/1979,265.54,972.55
12/14/1979,267.03,1012.69
12/17/1979,269.84,1048.58
12/18/1979,277.25,1094.24
12/19/1979,270.59,1110.47
12/20/1979,271.24,1101.78
12/21/1979,279.51,1136.39
12/24/1979,279.51,1136.39
12/25/1979,279.51,1136.39
12/26/1979,290.61,1183.54
12/27/1979,295.91,1229.38
12/28/1979,296.86,1275.26
12/31/1979,306.22,1322.05
01/01/1980,306.22,1322.05
01/02/1980,320.58,1368.48
01/03/1980,334.85,1414.48
01/04/1980,346.3,1460.52
01/07/1980,359.7,1507.62
01/08/1980,345.71,1494.45
01/09/1980,343.11,1529.18
